TOTAL_PRECIPITATION_CALGARY,TOTAL_PRECIPITATION_EDMONTON,TOTAL_PRECIPITATION_HALIFAX,TOTAL_PRECIPITATION_MONCTON,TOTAL_PRECIPITATION_MONTREAL,TOTAL_PRECIPITATION_OTTAWA,TOTAL_PRECIPITATION_QUEBEC,TOTAL_PRECIPITATION_SASKATOON,TOTAL_PRECIPITATION_STJOHNS,TOTAL_PRECIPITATION_TORONTO,TOTAL_PRECIPITATION_VANCOUVER,TOTAL_PRECIPITATION_WHITEHORSE,TOTAL_PRECIPITATION_WINNIPEG,Total Precip (mm)
456.70000000000044,0.0,0.0,1016.8999999999995,0.0,755.1999999999991,0.0,353.1000000000001,0.0,891.3999999999995,1074.3999999999994,0.0,435.5000000000003,
392.10000000000014,0.0,0.0,1189.099999999999,326.80000000000007,794.3,0.0,258.0000000000001,0.0,629.6999999999998,1107.4999999999986,0.0,625.3999999999994,
522.4999999999999,0.0,0.0,986.3999999999999,1010.3999999999993,912.3,0.0,472.00000000000034,1466.1999999999994,963.6999999999994,811.1000000000003,219.50000000000023,562.8999999999996,
336.3000000000002,0.0,0.0,1217.7999999999993,1054.2999999999988,982.0999999999989,1004.3999999999993,313.4000000000001,1805.399999999997,712.1999999999994,794.6000000000001,291.4000000000002,504.8000000000002,945.1000000000001
432.9000000000003,0.0,0.0,1063.4999999999998,806.5999999999998,633.9000000000001,910.2999999999996,338.40000000000015,1944.9999999999989,828.1999999999989,835.4999999999997,346.7000000000003,618.2999999999994,1106.0
600.7999999999998,0.0,0.0,1246.5999999999992,1152.3999999999987,1009.1999999999995,1344.4999999999995,353.40000000000015,1540.3999999999983,961.8999999999994,1072.6999999999996,242.40000000000026,578.2999999999997,723.6
471.70000000000044,0.0,0.0,849.0999999999995,979.5999999999995,970.8999999999996,939.5000000000001,393.30000000000024,1512.0999999999985,707.5000000000001,1155.2999999999986,284.40000000000043,416.80000000000035,976.5
504.2000000000004,0.0,0.0,984.2999999999994,1010.4999999999995,1000.2999999999994,1030.6,394.90000000000026,1187.799999999999,760.0999999999991,1169.5999999999985,171.20000000000013,558.6,1016.2
454.50000000000017,0.0,0.0,1079.599999999999,854.3999999999995,799.7999999999995,881.2999999999994,307.5000000000002,1513.6999999999991,802.8999999999995,1166.5999999999995,352.60000000000036,405.50000000000045,995.0999999999999
265.0000000000002,0.0,0.0,909.3999999999992,865.8999999999992,792.5999999999993,878.4999999999997,380.60000000000025,1322.2999999999984,740.0,891.0,260.40000000000026,584.1999999999999,1077.0
443.6000000000003,0.0,0.0,1011.0999999999998,1002.4999999999993,845.3999999999991,1015.2999999999993,429.00000000000034,1134.4999999999989,797.5999999999993,1269.7999999999981,227.3000000000002,570.2999999999994,953.4
775.5999999999993,0.0,0.0,1201.5999999999995,1080.4999999999989,854.2999999999992,1112.699999999999,352.90000000000055,1818.8999999999992,852.1999999999994,1075.2999999999986,185.6000000000001,404.6000000000004,1266.6
444.8000000000003,0.0,0.0,848.2999999999995,1174.0999999999985,1007.6999999999994,1027.1999999999998,224.8000000000002,1563.2999999999977,673.5999999999998,723.2000000000002,324.20000000000033,363.1000000000005,1055.5
540.4000000000003,0.0,1523.599999999999,1189.399999999999,852.2999999999993,747.2999999999995,751.7999999999993,304.7000000000002,1675.4999999999982,771.0999999999995,1197.6999999999996,339.80000000000035,719.0999999999996,1158.7
585.8999999999999,0.0,406.00000000000017,1116.199999999999,1211.6999999999982,1112.8999999999992,1374.8999999999994,498.2000000000004,1438.5999999999976,915.3999999999993,1088.0999999999995,230.20000000000024,661.0999999999996,1281.5
403.6000000000005,0.0,0.0,828.8999999999995,752.5999999999996,721.3999999999997,962.0999999999992,419.4000000000003,2067.6999999999975,647.5999999999993,1034.9000000000003,189.20000000000016,580.6,1097.3999999999999
454.40000000000026,0.0,0.0,1071.9999999999986,849.799999999999,800.9999999999995,929.6999999999992,372.8000000000002,1760.5999999999979,778.6999999999992,1146.0999999999997,260.20000000000016,604.8999999999997,1140.7000000000003
394.10000000000025,0.0,0.0,956.6999999999987,876.6999999999996,738.5999999999992,1125.599999999999,293.50000000000034,1511.599999999998,722.0999999999997,884.6999999999998,208.9000000000002,525.4999999999998,1180.3999999999999
369.60000000000025,0.0,0.0,1126.2999999999981,1040.799999999999,852.7999999999993,1127.599999999999,315.90000000000026,1476.1999999999985,508.1000000000004,1129.0999999999997,203.50000000000009,483.40000000000055,1194.3
429.80000000000035,191.9,0.0,1088.999999999999,921.4999999999992,895.7999999999994,1163.4999999999995,353.20000000000033,1364.5999999999985,677.3000000000002,1240.3999999999987,254.2000000000002,654.0999999999997,1048.4
373.00000000000034,31.200000000000003,441.90000000000026,987.8999999999992,941.9999999999994,789.2999999999988,1221.799999999998,252.90000000000018,1352.3999999999974,691.5999999999996,1129.2999999999997,222.1000000000002,402.10000000000036,849.0999999999999
392.10000000000025,356.1000000000004,1308.499999999999,1210.3999999999992,925.2999999999997,765.0999999999995,1009.1999999999994,354.5000000000002,1056.2999999999986,684.2999999999998,1367.499999999999,299.90000000000043,321.7000000000001,1051.3999999999999
285.3000000000003,544.0999999999996,1778.7999999999986,1385.399999999998,953.6999999999994,840.3999999999996,1225.0999999999988,344.2000000000002,1578.9999999999973,831.2999999999996,1141.5999999999995,336.9000000000004,724.5999999999993,1381.9
425.0000000000002,421.50000000000034,1558.4999999999977,1493.4999999999984,973.4999999999994,858.6999999999996,1147.799999999999,420.60000000000036,1467.4999999999982,566.3999999999999,1094.3999999999996,267.5000000000004,482.70000000000044,1328.3
392.4000000000002,446.30000000000047,1704.6999999999978,1008.1999999999994,783.3,621.3999999999997,1132.8999999999992,267.3000000000001,1592.0999999999976,723.3999999999994,1100.7999999999993,278.80000000000035,461.50000000000057,1131.1000000000001
590.1999999999997,567.4999999999998,1048.1999999999987,756.9999999999998,935.8999999999994,841.8999999999996,1287.6999999999994,295.5000000000003,1144.5999999999983,839.1999999999994,1009.4999999999993,203.90000000000018,527.0000000000003,831.6999999999999
403.70000000000033,414.2000000000002,1123.1999999999994,1058.5999999999985,880.9999999999997,779.3999999999994,1195.3999999999992,369.50000000000034,1374.0999999999979,713.2000000000002,1131.6999999999996,282.0000000000003,460.00000000000057,997.9000000000002
256.4000000000002,336.3000000000003,1721.9999999999986,1471.6999999999987,809.1999999999996,983.6999999999999,1242.699999999999,332.0000000000002,1192.7999999999984,782.0999999999996,1173.7999999999995,244.30000000000024,471.10000000000025,1430.2
358.60000000000036,352.50000000000017,1235.7999999999993,1247.699999999999,812.5999999999998,852.5999999999992,901.5999999999997,450.20000000000033,1476.5999999999972,891.3999999999991,1295.8999999999996,298.70000000000033,652.9999999999993,1253.3
428.1000000000003,462.90000000000026,1447.2999999999984,1214.699999999999,996.4999999999998,872.2999999999993,1208.7999999999993,390.2000000000003,1701.5999999999979,667.2999999999994,947.8000000000001,252.10000000000028,548.7999999999995,1108.4
397.8000000000004,444.60000000000053,1335.2,1192.4999999999993,807.9999999999997,878.8999999999996,1119.9999999999989,375.2000000000003,1819.9999999999975,754.2999999999992,874.9999999999994,244.90000000000026,601.7999999999997,1188.3
392.5000000000003,413.1000000000003,1777.6999999999987,1130.4999999999984,806.8999999999991,922.6999999999991,1271.1999999999996,390.9000000000003,1586.5999999999979,674.1999999999997,1334.799999999999,264.70000000000044,525.3999999999999,1100.6000000000001
482.4000000000003,561.1999999999995,1931.0999999999997,1489.9999999999986,1179.7999999999986,1166.0999999999992,1369.6999999999985,306.80000000000035,1442.3999999999978,856.1999999999998,1243.7999999999988,293.4000000000003,424.80000000000047,1334.8
361.5000000000004,586.6999999999996,1529.3999999999987,1202.599999999998,1032.9999999999993,1040.5999999999995,1578.199999999999,405.7000000000004,1366.8999999999983,850.6999999999997,999.8000000000001,215.6000000000002,603.2999999999996,1136.7
